category,old_table,new_table,old_source,new_file,match_type,normalized_old,normalized_new
missing,DATABASECHANGELOGLOCK,,edu-init_database.sql,,,databasechangeloglock,
missing,circle_category,,edu-init_database.sql,,,category,
missing,circle_category_relation,,edu-init_database.sql,,,category_relation,
missing,circle_circle,,edu-init_database.sql,,,circle,
missing,circle_circle_category_relation,,edu-init_database.sql,,,circle_category_relation,
missing,circle_circle_member,,edu-init_database.sql,,,circle_member,
missing,circle_dynamic,,edu-init_database.sql,,,dynamic,
missing,content_category,,edu-init_database.sql,,,category,
missing,content_category_relation,,edu-init_database.sql,,,category_relation,
missing,exam_category,,edu-init_database.sql,,,category,
missing,exam_category_relation,,edu-init_database.sql,,,category_relation,
missing,exam_exam,,edu-init_database.sql,,,exam,
missing,exam_exam_category_relation,,edu-init_database.sql,,,exam_category_relation,
missing,exam_exam_chapter,,edu-init_database.sql,,,exam_chapter,
missing,exam_exam_chapter_section,,edu-init_database.sql,,,exam_chapter_section,
missing,exam_paper,,edu-init_database.sql,,,paper,
missing,exam_paper_category,,edu-init_database.sql,,,paper_category,
missing,exam_paper_category_relation,,edu-init_database.sql,,,paper_category_relation,
missing,exam_paper_paper_category_relation,,edu-init_database.sql,,,paper_paper_category_relation,
missing,exam_paper_question,,edu-init_database.sql,,,paper_question,
missing,exam_paper_question_rule,,edu-init_database.sql,,,paper_question_rule,
missing,exam_question,,edu-init_database.sql,,,question,
missing,exam_question_and_category_relation,,edu-init_database.sql,,,question_and_category_relation,
missing,exam_question_category,,edu-init_database.sql,,,question_category,
missing,exam_question_category_relation,,edu-init_database.sql,,,question_category_relation,
missing,exam_record,,edu-init_database.sql,,,record,
missing,exam_sign_up,,edu-init_database.sql,,,sign_up,
missing,exam_wrong_question,,edu-init_database.sql,,,wrong_question,
missing,learn_category,,edu-init_database.sql,,,category,
missing,learn_category_relation,,edu-init_database.sql,,,category_relation,
missing,learn_homework,,edu-init_database.sql,,,homework,
missing,learn_homework_record,,edu-init_database.sql,,,homework_record,
missing,learn_learn_map,,edu-init_database.sql,,,learn_map,
missing,learn_learn_map_topic,,edu-init_database.sql,,,learn_map_topic,
missing,learn_lesson,,edu-init_database.sql,,,lesson,
missing,learn_lesson_category_relation,,edu-init_database.sql,,,lesson_category_relation,
missing,learn_lesson_chapter,,edu-init_database.sql,,,lesson_chapter,
missing,learn_lesson_chapter_section,,edu-init_database.sql,,,lesson_chapter_section,
missing,learn_record,,edu-init_database.sql,,,record,
missing,learn_record_log,,edu-init_database.sql,,,record_log,
missing,learn_sign_up,,edu-init_database.sql,,,sign_up,
missing,learn_topic,,edu-init_database.sql,,,topic,
missing,learn_topic_category,,edu-init_database.sql,,,topic_category,
missing,learn_topic_category_relation,,edu-init_database.sql,,,topic_category_relation,
missing,learn_topic_lesson,,edu-init_database.sql,,,topic_lesson,
missing,learn_topic_topic_category_relation,,edu-init_database.sql,,,topic_topic_category_relation,
missing,live_category,,edu-init_database.sql,,,category,
missing,live_category_relation,,edu-init_database.sql,,,category_relation,
missing,live_channel,,edu-init_database.sql,,,channel,
missing,live_channel_category_relation,,edu-init_database.sql,,,channel_category_relation,
missing,live_channel_lecturer,,edu-init_database.sql,,,channel_lecturer,
missing,live_subscribe,,edu-init_database.sql,,,subscribe,
missing,live_tencent_cloud_live_stream,,edu-init_database.sql,,,tencent_cloud_live_stream,
missing,message_announcement,,edu-init_database.sql,,,announcement,
missing,message_announcement_read_record,,edu-init_database.sql,,,announcement_read_record,
missing,message_notice,,edu-init_database.sql,,,notice,
missing,message_private_letter,,edu-init_database.sql,,,private_letter,
missing,message_system_notice,,edu-init_database.sql,,,system_notice,
missing,message_template,,edu-init_database.sql,,,template,
missing,order_order,,edu-init_database.sql,,,order,
missing,order_order_item,,edu-init_database.sql,,,order_item,
missing,order_order_payment,,edu-init_database.sql,,,order_payment,
missing,point_channel,,edu-init_database.sql,,,channel,
missing,point_point,,edu-init_database.sql,,,point,
missing,point_point_channel_relation,,edu-init_database.sql,,,point_channel_relation,
missing,point_record,,edu-init_database.sql,,,record,
missing,resource_category,,edu-init_database.sql,,,category,
missing,resource_category_relation,,edu-init_database.sql,,,category_relation,
missing,resource_resource,,edu-init_database.sql,,,resource,
missing,resource_resource_category_relation,,edu-init_database.sql,,,resource_category_relation,
missing,resource_resource_download,,edu-init_database.sql,,,resource_download,
missing,resource_resource_search_record,,edu-init_database.sql,,,resource_search_record,
missing,search_content,,edu-init_database.sql,,,content,
missing,search_hot_word,,edu-init_database.sql,,,hot_word,
missing,search_record,,edu-init_database.sql,,,record,
missing,setting_agreement,,edu-init_database.sql,,,agreement,
missing,setting_carousel,,edu-init_database.sql,,,carousel,
missing,t_agreement,,edu-init_database.sql,,,agreement,
missing,t_announcement,,edu-init_database.sql,,,announcement,
missing,t_announcement_read_record,,edu-init_database.sql,,,announcement_read_record,
missing,t_answer,,edu-init_database.sql,,,answer,
missing,t_article,,edu-init_database.sql,,,article,
missing,t_article_category_relation,,edu-init_database.sql,,,article_category_relation,
missing,t_authority,,edu-init_database.sql,,,authority,
missing,t_carousel,,edu-init_database.sql,,,carousel,
missing,t_category,,edu-init_database.sql,,,category,
missing,t_category_relation,,edu-init_database.sql,,,category_relation,
missing,t_certificate,,edu-init_database.sql,,,certificate,
missing,t_certificate_template,,edu-init_database.sql,,,certificate_template,
missing,t_channel,,edu-init_database.sql,,,channel,
missing,t_channel_category_relation,,edu-init_database.sql,,,channel_category_relation,
missing,t_channel_lecturer,,edu-init_database.sql,,,channel_lecturer,
missing,t_check_in,,edu-init_database.sql,,,check_in,
missing,t_check_in_record,,edu-init_database.sql,,,check_in_record,
missing,t_circle,,edu-init_database.sql,,,circle,
missing,t_circle_category_relation,,edu-init_database.sql,,,circle_category_relation,
missing,t_circle_member,,edu-init_database.sql,,,circle_member,
missing,t_comment,,edu-init_database.sql,,,comment,
missing,t_company,,edu-init_database.sql,,,company,
missing,t_company_department_relation,,edu-init_database.sql,,,company_department_relation,
missing,t_content,,edu-init_database.sql,,,content,
missing,t_department,,edu-init_database.sql,,,department,
missing,t_department_department,,edu-init_database.sql,,,department_department,
missing,t_dynamic,,edu-init_database.sql,,,dynamic,
missing,t_exam,,edu-init_database.sql,,,exam,
missing,t_exam_category_relation,,edu-init_database.sql,,,exam_category_relation,
missing,t_exam_chapter,,edu-init_database.sql,,,exam_chapter,
missing,t_exam_chapter_section,,edu-init_database.sql,,,exam_chapter_section,
missing,t_favorite,,edu-init_database.sql,,,favorite,
missing,t_follow,,edu-init_database.sql,,,follow,
missing,t_homework,,edu-init_database.sql,,,homework,
missing,t_homework_record,,edu-init_database.sql,,,homework_record,
missing,t_hot_word,,edu-init_database.sql,,,hot_word,
missing,t_job,,edu-init_database.sql,,,job,
missing,t_learn_map,,edu-init_database.sql,,,learn_map,
missing,t_learn_map_topic,,edu-init_database.sql,,,learn_map_topic,
missing,t_lecturer,,edu-init_database.sql,,,lecturer,
missing,t_lesson,,edu-init_database.sql,,,lesson,
missing,t_lesson_category_relation,,edu-init_database.sql,,,lesson_category_relation,
missing,t_lesson_chapter,,edu-init_database.sql,,,lesson_chapter,
missing,t_lesson_chapter_section,,edu-init_database.sql,,,lesson_chapter_section,
missing,t_like,,edu-init_database.sql,,,like,
missing,t_manager,,edu-init_database.sql,,,manager,
missing,t_member,,edu-init_database.sql,,,member,
missing,t_member_company,,edu-init_database.sql,,,member_company,
missing,t_member_company_member_relation,,edu-init_database.sql,,,member_company_member_relation,
missing,t_member_company_type,,edu-init_database.sql,,,member_company_type,
missing,t_member_group,,edu-init_database.sql,,,member_group,
missing,t_member_group_member_relation,,edu-init_database.sql,,,member_group_member_relation,
missing,t_member_level,,edu-init_database.sql,,,member_level,
missing,t_member_level_relation,,edu-init_database.sql,,,member_level_relation,
missing,t_member_post,,edu-init_database.sql,,,member_post,
missing,t_member_post_member_relation,,edu-init_database.sql,,,member_post_member_relation,
missing,t_member_tag,,edu-init_database.sql,,,member_tag,
missing,t_member_tag_member_relation,,edu-init_database.sql,,,member_tag_member_relation,
missing,t_news,,edu-init_database.sql,,,new,
missing,t_notice,,edu-init_database.sql,,,notice,
missing,t_order,,edu-init_database.sql,,,order,
missing,t_order_item,,edu-init_database.sql,,,order_item,
missing,t_order_payment,,edu-init_database.sql,,,order_payment,
missing,t_paper,,edu-init_database.sql,,,paper,
missing,t_paper_category,,edu-init_database.sql,,,paper_category,
missing,t_paper_category_relation,,edu-init_database.sql,,,paper_category_relation,
missing,t_paper_paper_category_relation,,edu-init_database.sql,,,paper_paper_category_relation,
missing,t_paper_question,,edu-init_database.sql,,,paper_question,
missing,t_paper_question_rule,,edu-init_database.sql,,,paper_question_rule,
missing,t_point,,edu-init_database.sql,,,point,
missing,t_point_channel_relation,,edu-init_database.sql,,,point_channel_relation,
missing,t_post,,edu-init_database.sql,,,post,
missing,t_private_letter,,edu-init_database.sql,,,private_letter,
missing,t_question,,edu-init_database.sql,,,question,
missing,t_question_and_category_relation,,edu-init_database.sql,,,question_and_category_relation,
missing,t_question_category,,edu-init_database.sql,,,question_category,
missing,t_question_category_relation,,edu-init_database.sql,,,question_category_relation,
missing,t_record,,edu-init_database.sql,,,record,
missing,t_record_bak,,edu-init_database.sql,,,record_bak,
missing,t_record_log,,edu-init_database.sql,,,record_log,
missing,t_reply_comment,,edu-init_database.sql,,,reply_comment,
missing,t_resource,,edu-init_database.sql,,,resource,
missing,t_resource_category_relation,,edu-init_database.sql,,,resource_category_relation,
missing,t_resource_download,,edu-init_database.sql,,,resource_download,
missing,t_resource_product,,edu-init_database.sql,,,resource_product,
missing,t_resource_search_record,,edu-init_database.sql,,,resource_search_record,
missing,t_resource_tag,,edu-init_database.sql,,,resource_tag,
missing,t_role,,edu-init_database.sql,,,role,
missing,t_role_authority,,edu-init_database.sql,,,role_authority,
missing,t_sensitive_word,,edu-init_database.sql,,,sensitive_word,
missing,t_sign_up,,edu-init_database.sql,,,sign_up,
missing,t_subscribe,,edu-init_database.sql,,,subscribe,
missing,t_system_notice,,edu-init_database.sql,,,system_notice,
missing,t_template,,edu-init_database.sql,,,template,
missing,t_tencent_cloud_live_stream,,edu-init_database.sql,,,tencent_cloud_live_stream,
missing,t_topic,,edu-init_database.sql,,,topic,
missing,t_topic_category,,edu-init_database.sql,,,topic_category,
missing,t_topic_category_relation,,edu-init_database.sql,,,topic_category_relation,
missing,t_topic_lesson,,edu-init_database.sql,,,topic_lesson,
missing,t_topic_topic_category_relation,,edu-init_database.sql,,,topic_topic_category_relation,
missing,t_user,,edu-init_database.sql,,,user,
missing,t_user_department,,edu-init_database.sql,,,user_department,
missing,t_user_job,,edu-init_database.sql,,,user_job,
missing,t_user_manager,,edu-init_database.sql,,,user_manager,
missing,t_user_post,,edu-init_database.sql,,,user_post,
missing,t_user_role,,edu-init_database.sql,,,user_role,
missing,t_visit_log,,edu-init_database.sql,,,visit_log,
missing,t_watch,,edu-init_database.sql,,,watch,
missing,t_wrong_question,,edu-init_database.sql,,,wrong_question,
missing,9:// zhs_banner_carousel),,zhs-java-@Table,,,9:// zhs_banner_carousel),
missing,10:// zhs_exchange_rate),,zhs-java-@Table,,,10:// zhs_exchange_rate),
missing,11:// zhs_operate_token_flow),,zhs-java-@Table,,,11:// zhs_operate_token_flow),
missing,9:// zhs_popular_courses),,zhs-java-@Table,,,9:// zhs_popular_courses),
missing,9:// zhs_knowledge_planet),,zhs-java-@Table,,,9:// zhs_knowledge_planet),
missing,12:// zhs_order) // Removed JPA annotation,,zhs-java-@Table,,,12:// zhs_order) // removed jpa annotation,
missing,12:// zhs_withdrawal_flow) // Removed JPA annotation,,zhs-java-@Table,,,12:// zhs_withdrawal_flow) // removed jpa annotation,
missing,14:// zhs_product) // Removed JPA annotation,,zhs-java-@Table,,,14:// zhs_product) // removed jpa annotation,
missing,7:// zhs_user_agent_free_times),,zhs-java-@Table,,,7:// zhs_user_agent_free_times),
